String,Symbol,Library,LibraryPath
ampstubs.c,,libil_sh.so,not
aveng: stub for ampProcessOneRule was called,_ZdaPvm,libnmp_sh.so,not
Normally,ilIsNumber,libcla_sh.so,not
Abnormally,ilIsCallable,libnsl.so.1,/lib64/libnsl.so.1
/usr/bin/mail,dlerror,libdl.so.2,/lib64/libdl.so.2
not ,wait,libelf.so.1,/lib64/libelf.so.1
%s | %s %s,ilCaar,libpthread.so.0,/lib64/libpthread.so.0
Mail %ssent.,mktemp,libgfortran.so.5,/lib64/libgfortran.so.5
%s/tools.%s/assura/bin/%s,fts_set,librt.so.1,/lib64/librt.so.1
"Binary ""%s"" not found.",clock,libstdc++.so.6,/lib64/libstdc++.so.6
"Binary ""%s"" found on retry.",getsockname,libm.so.6,/lib64/libm.so.6
%s_err.trn,_ZSt19__throw_logic_errorPKc,libgcc_s.so.1,/lib64/libgcc_s.so.1
trn file %s does not exists,uname,libc.so.6,/lib64/libc.so.6
-modifyExistingLibrary,feof,ld-linux-x86-64.so.2,
-trn,fseeko64,,
avToGdsII,__cxa_begin_catch,,
%s.snn,printf,,
%s.tre,fdopen,,
vldbToRpa,ilError,,
%s.cel,symlink,,
%s.lnn,pclose,,
%s.tre2,select,,
%s.cel2,memcpy,,
nde,mprotect,,
-exec%d,__lxstat64,,
%s_nde.trn,pthread_rwlock_wrlock,,
%s_nde.rsf,localeconv,,
-cdslib,wcscmp,,
-libdefs,__isoc99_sscanf,,
avToDfII,exp,,
avToOasis,div,,
avnx,ilLookup,,
aveng,ilPutd,,
tools.%s/assura/lib,_ZNSo9_M_insertIyEERSoT_,,
LD_LIBRARY_PATH,ulimit,,
%s=%s/%s,_ZdlPvm,,
PATH=%s/tools.%s/assura/bin,pthread_mutex_destroy,,
CDS_AUTO_64BIT,ilCaddr,,
ASSURA_AUTO_64BIT=ALL,access,,
64bit,chmod,,
-avt,floor,,
Missing -avt file argument,ioctl,,
Missing -dx file argument,__ctype_b_loc,,
Missing -nx file argument,setsockopt,,
-rcxScript,getdomainname,,
-gui,ilOutfile,,
-outcdb,_setjmp,,
-compileOnly,ilIsDouble,,
-listVars,fcntl,,
-lib,strncpy,,
-area,_Znwm,,
-var,localtime_r,,
AVENG_PROG,memmove,,
No mcf file specified,__assert_fail,,
"(load ""%s"")",ilErrSetString,,
avcallproc,__xpg_strerror_r,,
-postCB,recvmsg,,
recheckAssura,pthread_attr_init,,
-npmFlow,__isoc99_fscanf,,
ercChk,getdtablesize,,
nvn,fprintf,,
-LVS,pthread_setspecific,,
-postExtract,_ZNSt13basic_filebufIcSt11char_traitsIcEE5closeEv,,
-trp,ilcError,,
Checking in license for %s,times,,
Checking out license for %s,getpwuid,,
getOrDie,syscall,,
Execution terminated!,remove,,
Run ended: %s,inet_ntop,,
-inc,dladdr1,,
-path,ilSprintf,,
"(echo ""Subject:%s, Terminated %s"";echo """";echo ""Hostname:`hostname`"";echo ""PWD:`pwd`"")",freelocale,,
*****  Assura terminated abnormally  *****,ilGetDouble,,
Reason for file not executable,ilGetInt,,
Could not copy temporary data from %s to %s,close,,
Could not remove temporary data from %s,pthread_rwlock_init,,
Error: (AVRC-10450): option '?outputErrorLib' is set but 'outFile()' section is not found in RSF file.,jrand48,,
 outFile() section must be supplied. RSF file must be corrected.,unlink,,
GOALIE2DIR=%s/tools.%s/assura/bin/%s,strncmp,,
Expecting name of cdslib file after -cdslib option.,xdr_int,,
Expecting name of libdefs file after -libdefs option.,__lxstat,,
WARNING: The AVENG_PROG environment variable has replaced aveng with %s,pthread_mutex_unlock,,
File `%s' does not exist or is not readable,ungetc,,
"Errors exist in master control file ""%s"".",pthread_key_create,,
Errors exist in the input data.,gmtime,,
runName conflict of mcf command %d and %d -- %s,wcscasecmp,,
avrpt() won't be run because of compileOnly,ftell,,
Waiting for license validation for %s.,fsetpos,,
"License validation successful, execution continues.",pthread_mutexattr_destroy,,
Assura LVS terminated normally.,mkdir,,
Failed to release license for %s,cosh,,
Failed to obtain license for %s,truncate,,
*****  Assura terminated normally  *****,recvfrom,,
`h,openlog,,
thh,geteuid,,
\gh,pthread_mutex_lock,,
fh,claNextLib,,
`h,ilVsprintf,,
dh,lrand48,,
kh,strtok,,
jh,alarm,,
ih,lseek,,
dh,readlink,,
ffffff,__stack_chk_fail,,
@-agds_file,atan2,,
-hierarchy_delimiter,pthread_cond_destroy,,
?lvsSource,perror,,
asvckexec.c,poll,,
?df2,strtok_r,,
?lvsExtractedCellView,ilRemoveProtection,,
?extract,__ctype_toupper_loc,,
?runName,memset,,
-output,_ZNSolsEi,,
-output_net_name_space,sscanf,,
-sub_node_char,sched_getaffinity,,
-xy_coordinates,atoi,,
-agds_layer_file,_ZSt16__throw_bad_castv,,
-agds_layer_map_file,dlclose,,
-agds_spice_file,fputs,,
-agds_text_layers,dprintf,,
-agds_length_units,ilClose,,
-xref,difftime,,
rcxParameters: %s is not allowed when ?lvsSource is assura. Ignored.,getuid,,
rcxParameters: %s is not allowed when ?outputFormat is dfII. Ignored.,inet_ntoa,,
avRCX: The avRCX() function requires an rcxParameters section.,regcomp,,
rcxParameters: ?runName is required.,elf_nextscn,,
rcsParameters: '%s' contains an improper character '%c'.,__cxa_guard_acquire,,
Failed to create run directory %s,send,,
changeLabel,sin,,
avParameters,signal,,
schematic,_ZTTSt14basic_ofstreamIcSt11char_traitsIcEE,,
netlist,semget,,
bindingFile,ilcUnbound,,
avNetExtraction,pthread_once,,
avCompareRules,_ZTVN10__cxxabiv117__class_type_infoE,,
vampDX,_ZNSt9basic_iosIcSt11char_traitsIcEE4initEPSt15basic_streambufIcS1_E,,
vampNX,_ZdaPv,,
vampNVN,_ZNSo9_M_insertIlEERSoT_,,
vampSum,getcwd,,
vampLVS,connect,,
vampLicenseIn,wcsstr,,
vampLicenseOut,pthread_mutex_init,,
avDRC,getc,,
avNVN,ilIsInt,,
avRpt,wcscspn,,
avLVS,vfork,,
avExtract,ilLineReadString,,
avLicenseIn,__cxa_allocate_exception,,
avLicenseOut,mktime,,
outFile,__gmon_start__,,
avRCX,strlen,,
rcxParameters,backtrace_symbols,,
avERC,strcpy,,
deleteCellText,klogctl,,
joinableNet,__ctype_tolower_loc,,
mustJoinNet,unsetenv,,
globalLabel,posix_spawnattr_setflags,,
drcLogFile,rmdir,,
